clave,nombre,estado,municipio,latitud,longitud,pga_g,lluvia_diseno_100a_mm,poblacion_30km,percentil_sismico,percentil_hidrologico,percentil_poblacional,indice_prioridad
VVCMX,"Villa Victoria, Méx.",México,Villa Victoria,19.461667,-100.055556,0.2381964014471338,43.80853646204976,411158,78.57142857142857,4.523809523809524,73.33333333333333,57.44047619047619
SLDGJ,"La Soledad, Gto.",Guanajuato,Guanajuato,21.04,-101.279722,0.07314160000000189,56.75217956475011,398663,39.04761904761905,44.52380952380952,72.85714285714285,57.32142857142857
SJUMC,"San Juanico, Mich.",Michoacán de Ocampo,Cotija,19.839444,-102.651389,0.2456615363765078,57.98185581688091,208559,79.04761904761905,46.666666666666664,51.42857142857142,57.14285714285714
VTRGR,"Valerio Trujano, Gro.",Guerrero,Tepecoacuilco de Trujano,18.295833,-99.466111,0.5365858387954483,48.765291243117716,245482,93.80952380952381,19.28571428571429,57.61904761904761,57.08333333333333
TMUMC,"Tercer Mundo, Mich.",Michoacán de Ocampo,Senguio,19.766389,-100.299167,0.24713676250651986,44.22685919089239,365539,79.52380952380952,7.6190476190476195,70.47619047619048,57.023809523809526
GVCDR,"Presidente Guadalupe Victoria, Dgo.",Durango,Durango,23.961111,-104.753056,0.0170076,64.69594630766657,556408,10.476190476190476,55.714285714285715,80.95238095238095,57.02380952380952
BBAJL,"Basilio Vadillo, Jal.",Jalisco,El Limón,19.913611,-104.061111,0.2781974992360573,85.1569495104988,73998,83.33333333333334,71.42857142857143,36.666666666666664,57.02380952380952
ZMPHD,"Ing. Fernando Hiriart Balderrama, Hgo.",Hidalgo,Zimapán,20.663333,-99.501111,0.21017,70.96696839455552,123069,73.80952380952381,62.38095238095238,44.761904761904766,56.42857142857143
DNXMX,"Danxhó, Méx.",México,Jilotepec,19.884722,-99.559722,0.1572612,45.50792881943562,441963,64.76190476190476,12.142857142857142,74.28571428571429,56.36904761904762
SLSGJ,"Solís, Gto.",Guanajuato,Acámbaro,20.055278,-100.669722,0.15964077711887467,50.296431135107994,311865,66.19047619047619,26.190476190476193,66.19047619047619,56.19047619047619
CPEJL,"Cajón de Peña, Jal.",Jalisco,Tomatlán,19.9975,-105.129722,0.4446765001113289,140.50428065794046,29109,91.42857142857143,93.33333333333333,20.0,56.19047619047619
ELOSL,"Cañada del Lobo, S.L.P.",San Luis Potosí,San Luis Potosí,22.094722,-100.9675,0.024588019118709274,45.75147364605382,1175783,20.476190476190474,14.523809523809526,93.80952380952381,55.654761904761905
AGOMC,"Agostitlán, Mich.",Michoacán de Ocampo,Hidalgo,19.579722,-100.608889,0.23669559999981848,53.93762417497044,219289,77.61904761904762,35.0,54.285714285714285,55.29761904761905
MLPMC,"Malpaís, Mich.",Michoacán de Ocampo,Queréndaro,19.829167,-100.873611,0.19222599999999998,50.296431135107994,273204,70.95238095238095,26.190476190476193,61.904761904761905,55.23809523809524
EPOSL,"El Potosino, S.L.P.",San Luis Potosí,San Luis Potosí,22.099722,-101.078056,0.024212960859136424,45.75147364605382,1158566,19.523809523809526,14.523809523809526,93.33333333333333,55.17857142857143
ELPSL,"Gonzalo N. Santos, S.L.P.",San Luis Potosí,San Luis Potosí,22.092222,-101.098611,0.0242185078061464,45.75147364605382,1156243,20.0,14.523809523809526,92.85714285714286,55.05952380952381
PEMVC,"Presa el Moralillo, Ver.",Veracruz de Ignacio de la Llave,Tepetzintla,21.184444,-97.814444,0.0413957191594921,141.80860238227905,172218,29.523809523809526,93.80952380952381,48.095238095238095,54.88095238095238
AURBN,"Las Auras, B.C.",Baja California,Tecate,32.544722,-116.531667,0.1591611,67.5985709105521,148985,65.71428571428571,58.57142857142858,47.14285714285714,54.64285714285714
